root,Phylum,Class,Order,Family,Genus,Species
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
root,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
root,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
root,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,BACL21,Genus_BACL21
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,Genus_GCA-002733185
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,Genus_GCA-002733185
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,Genus_GCA-2700405
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
root,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
root,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
root,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Genus_Polaribacter
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Genus_Polaribacter
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
