Sample,Domain,Phylum,Class,Order,Family,Genus,Species
10,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,Genus_UBA11606
37,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,Genus_UBA11606
38,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,Genus_UBA11606
65,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,Genus_UBA11606
37,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,Genus_UBA11606
20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
23,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
34,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
47,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
51,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
64,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
80,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
83,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
9,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,Genus_UBA2110
1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
35,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
36,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
37,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
38,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
39,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
48,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
77,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
23,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
46,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,Genus_UBA9040
20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
9,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
23,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
64,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
80,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
47,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
51,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
61,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
69,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
80,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
83,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
61,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
69,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
72,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
80,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
23,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
34,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,Genus_UBA9410
34,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
62,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
79,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,Family_UBA8592,Family_UBA8592
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,BACL21,Genus_BACL21
46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,Genus_GCA-002733185
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,Genus_GCA-002733185
51,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,Genus_GCA-2700405
25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
68,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,Genus_HC6-5
33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Genus_Hel1-33-131
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465
52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465
21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075
23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,Genus_MED-G11
25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,Genus_MED-G20
10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
68,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
68,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,Genus_MS024-2A
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Genus_Polaribacter
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Genus_Polaribacter
21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,Genus_TMED14
71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,Genus_TMED14
52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
53,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
56,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
30,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615
71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615
24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
67,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
70,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
30,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
56,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
53,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
67,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
68,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
82,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
74,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002709185
71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002725015
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
70,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
53,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
74,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645
70,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,UBA7446 sp002862645
8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA8316,Genus_UBA8316
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,Genus_UBA952
42,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,Genus_UBA952
41,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,Genus_UBA952
22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002336655
82,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002336655
78,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA974,UBA974 sp002292405
54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Family_Flavobacteriaceae,Family_Flavobacteriaceae
82,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Family_Flavobacteriaceae,Family_Flavobacteriaceae
46,Bacteria,Binatota,Binatia,UBA12015,UBA12015,UBA12015,UBA12015 sp003447545
20,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,Bin127,GCA-002725925,Genus_GCA-002725925
20,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
23,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
3,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
34,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
43,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
47,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
51,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
61,Bacteria,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
61,Bacteria,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,UBA11996 sp002708495
61,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
80,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
23,Bacteria,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
20,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
23,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
3,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
34,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
43,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
47,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
51,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
61,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
64,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
69,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
80,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
83,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
