Bin,Sample,Year,Watermass
23_bin.3,23,2015,Deep
23_bin.30,23,2015,Deep
23_bin.31,23,2015,Deep
23_bin.33,23,2015,Deep
23_bin.35,23,2015,Deep
23_bin.36,23,2015,Deep
23_bin.38,23,2015,Deep
23_bin.40,23,2015,Deep
23_bin.41,23,2015,Deep
23_bin.45,23,2015,Deep
23_bin.47,23,2015,Deep
23_bin.48,23,2015,Deep
23_bin.5,23,2015,Deep
23_bin.50,23,2015,Deep
23_bin.52,23,2015,Deep
23_bin.55,23,2015,Deep
23_bin.57,23,2015,Deep
23_bin.60,23,2015,Deep
23_bin.61,23,2015,Deep
23_bin.62,23,2015,Deep
23_bin.63,23,2015,Deep
23_bin.64,23,2015,Deep
23_bin.9,23,2015,Deep
24_bin.13,24,2015,STW
24_bin.14,24,2015,STW
24_bin.16,24,2015,STW
24_bin.18,24,2015,STW
24_bin.19,24,2015,STW
24_bin.21,24,2015,STW
24_bin.28,24,2015,STW
24_bin.3,24,2015,STW
24_bin.31,24,2015,STW
24_bin.38,24,2015,STW
24_bin.39,24,2015,STW
24_bin.42,24,2015,STW
24_bin.47,24,2015,STW
24_bin.51,24,2015,STW
24_bin.53,24,2015,STW
24_bin.54,24,2015,STW
25_bin.10,25,2015,STW
25_bin.11,25,2015,STW
25_bin.13,25,2015,STW
25_bin.16,25,2015,STW
25_bin.20,25,2015,STW
25_bin.21,25,2015,STW
25_bin.22,25,2015,STW
25_bin.25,25,2015,STW
25_bin.27,25,2015,STW
25_bin.30,25,2015,STW
25_bin.4,25,2015,STW
25_bin.8,25,2015,STW
26_bin.10,26,2015,Front
26_bin.12,26,2015,Front
26_bin.14,26,2015,Front
26_bin.15,26,2015,Front
26_bin.17,26,2015,Front
26_bin.18,26,2015,Front
26_bin.19,26,2015,Front
26_bin.24,26,2015,Front
26_bin.3,26,2015,Front
26_bin.31,26,2015,Front
26_bin.32,26,2015,Front
26_bin.9,26,2015,Front
27_bin.1,27,2015,SAW
27_bin.10,27,2015,SAW
27_bin.13,27,2015,SAW
27_bin.16,27,2015,SAW
27_bin.2,27,2015,SAW
27_bin.24,27,2015,SAW
27_bin.25,27,2015,SAW
27_bin.28,27,2015,SAW
27_bin.3,27,2015,SAW
27_bin.7,27,2015,SAW
27_bin.9,27,2015,SAW
28_bin.1,28,2015,SAW
28_bin.12,28,2015,SAW
28_bin.13,28,2015,SAW
28_bin.14,28,2015,SAW
28_bin.16,28,2015,SAW
28_bin.18,28,2015,SAW
28_bin.19,28,2015,SAW
28_bin.22,28,2015,SAW
28_bin.28,28,2015,SAW
28_bin.30,28,2015,SAW
29_bin.12,29,2015,SAW
29_bin.13,29,2015,SAW
29_bin.18,29,2015,SAW
29_bin.23,29,2015,SAW
29_bin.24,29,2015,SAW
29_bin.25,29,2015,SAW
29_bin.27,29,2015,SAW
29_bin.30,29,2015,SAW
29_bin.31,29,2015,SAW
29_bin.34,29,2015,SAW
29_bin.37,29,2015,SAW
29_bin.38,29,2015,SAW
29_bin.39,29,2015,SAW
29_bin.41,29,2015,SAW
29_bin.7,29,2015,SAW
30_bin.1,30,2015,SAW
30_bin.10,30,2015,SAW
30_bin.13,30,2015,SAW
30_bin.17,30,2015,SAW
30_bin.21,30,2015,SAW
30_bin.3,30,2015,SAW
30_bin.32,30,2015,SAW
30_bin.36,30,2015,SAW
30_bin.38,30,2015,SAW
30_bin.4,30,2015,SAW
30_bin.5,30,2015,SAW
30_bin.7,30,2015,SAW
30_bin.8,30,2015,SAW
32_bin.11,32,2016,STW
32_bin.2,32,2016,STW
32_bin.6,32,2016,STW
32_bin.9,32,2016,STW
33_bin.1,33,2016,SAW
33_bin.13,33,2016,SAW
33_bin.15,33,2016,SAW
33_bin.18,33,2016,SAW
33_bin.19,33,2016,SAW
33_bin.2,33,2016,SAW
33_bin.23,33,2016,SAW
33_bin.24,33,2016,SAW
33_bin.26,33,2016,SAW
33_bin.28,33,2016,SAW
33_bin.29,33,2016,SAW
33_bin.32,33,2016,SAW
33_bin.34,33,2016,SAW
33_bin.4,33,2016,SAW
34_bin.10,34,2016,Deep
