Sample_ID,Location,Station,Depth,Mean_Date,Mean_Depth,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI,OG.Shannon,OG.Richness,OG.Evenness,FC_heterotrophs,FC_autotrophs,FC_bacteria,FC_picoeukaryotes
PSE_109_380,PSE,109,MES,13/05/11 19:44,376.4,11.3,34.8,2.5,33.9,0.02,2.58,35.3,36.3,7.29,18992,0.74,137487,0,137487,0
PSE_110_380M,PSE,110,MES,22/05/11 17:56,376.9,10.3,34.8,1.3,34.6,0,2.8,38.1,35,7.22,19565,0.731,85282,0,85282,0
PSE_111_350M,PSE,111,MES,1/06/11 18:24,347.1,10.9,34.7,3.2,30.4,0.01,2.73,34.61,26,7.14,17558,0.731,65052,0,65052,0
PON_132_05M,PON,132,SUR,4/10/11 17:49,5.5,25.2,35.2,197.7,-1,0,0.01,0.01,2.43,7.1,14422,0.741,416576,121337,537913,932
PON_133_05M,PON,133,SUR,18/10/11 18:58,5.5,19.2,33.1,224.4,-0.7,0,0.29,0.02,1.91,7.15,15279,0.742,1000349,169828,1170177,6068
PON_137_05M,PON,137,SUR,2/12/11 14:10,5.4,26.4,33.9,195.1,3.2,0.07,0.46,2.44,2.54,7.13,13939,0.747,755425,273894,1029319,10134
PON_138_05M,PON,138,SUR,10/12/11 13:58,5.4,26.6,33.4,196.9,-1.2,0,0.16,0,1.19,7.12,17717,0.728,394198,222835,617033,1567
PON_140_05M,PON,140,SUR,21/12/11 16:25,5.4,26.6,28.9,205.3,-3.8,0,0.08,0,0.54,7.19,17614,0.735,867923,264990,1132914,5808
PON_133_45M,PON,133,DCM,19/10/11 2:53,47.2,13.2,33.2,227.7,4.8,0.08,0.46,1.3,2.84,7.14,17038,0.733,803786,96011,899797,9392
PON_137_40M,PON,137,DCM,2/12/11 17:44,44.2,18.6,34.4,95.4,11,0.31,0.88,6.05,4.66,7.21,17574,0.738,4323439,93168,4416607,4746
PON_138_60M,PON,138,DCM,11/12/11 14:14,58.1,19,34.6,77,22.1,0.83,1.11,12.9,8.07,7.12,16960,0.732,306105,60313,366418,3630
PON_132_550M,PON,132,MES,5/10/11 21:53,545.5,6.7,34,138.7,29.1,0,1.22,17.49,22.34,7.21,19674,0.729,NA,NA,NA,NA
PON_133_650M,PON,133,MES,19/10/11 21:20,644.6,4.9,34.3,8.6,44.1,0,3.29,44.24,113.32,7.17,21208,0.72,NA,NA,NA,NA
PON_137_375M,PON,137,MES,3/12/11 16:31,371,8.9,34.6,0.6,35.7,0.01,2.95,34.55,46.62,7.26,20606,0.731,132720,0,132720,0
PON_138_450M,PON,138,MES,11/12/11 22:51,444.9,8.2,34.6,0.8,36.9,0.01,3.16,36.22,52.92,7.3,20553,0.735,130743,0,130743,0
MED_18_05M,MED,18,SUR,2/11/09 8:18,5.4,21.4,37.9,207.8,NA,0.02,0.03,0.12,0.56,7.14,14161,0.747,633618,39180,672798,947
MED_23_05M,MED,23,SUR,18/11/09 8:23,5.5,17.6,38.2,220,NA,0.01,0.01,0.04,1.38,7.13,14477,0.745,746759,57854,804613,1499
MED_25_05M,MED,25,SUR,23/11/09 9:14,5.5,18.3,38.2,218,NA,0,0.01,0.03,1.05,7.17,14408,0.749,264404,34000,298404,1123
MED_30_05M,MED,30,SUR,15/12/09 10:40,5.4,20.5,39.4,207.6,-0.7,0,0,0.05,0.82,7.12,12612,0.754,232380,36418,268797,1225
MED_18_60M,MED,18,DCM,2/11/09 12:43,61.6,18.4,37.9,237.9,NA,0.03,0.01,0.02,0.62,7.14,14088,0.748,NA,NA,NA,NA
MED_25_50M,MED,25,DCM,23/11/09 12:40,51.7,15.2,38.5,229.5,NA,0.07,0.07,0.15,1.82,7.13,15774,0.737,NA,NA,NA,NA
MED_30_70M,MED,30,DCM,15/12/09 16:17,69.1,19,39.3,218.1,0.3,0.01,0,0.02,0.67,7.14,12843,0.755,598682,48034,646716,669
