Sample Domain Phylum Class Order Family Genus Species
36 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
37 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
38 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
44 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
59 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
62 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
7 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
73 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
76 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
78 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
81 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
5 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
60 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
62 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
63 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
77 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
79 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
72 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus  unclassified Nitrosopumilus
61 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales UBA57 UBA57 UBA57 sp002494565
16 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
18 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
2 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
22 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
27 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
42 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
46 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
5 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
54 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
66 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
77 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
79 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
82 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C  unclassified Synechococcus_C
21 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp002500205
56 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp000012505
70 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp000012505
11 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
15 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
16 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
18 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
19 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
2 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
39 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
40 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
41 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
42 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
5 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
50 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
54 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
57 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
58 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
60 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
63 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
66 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
7 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
71 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
74 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
77 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
79 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
82 Bacteria Cyanobacteria Cyanobacteriia Synechococcales Cyanobiaceae Synechococcus_C Synechococcus_C sp003208835
41 Bacteria Dadabacteria UBA1144 UBA1144 UBA1144 TMED58 TMED58 sp002701865
41 Bacteria Fibrobacterota Fibrobacteria Fibrobacterales  unclassified Fibrobacterales  unclassified Fibrobacterales  unclassified Fibrobacterales
23 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 GCA-2718595  unclassified GCA-2718595
47 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 GCA-2718595  unclassified GCA-2718595
61 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 GCA-2718595  unclassified GCA-2718595
1 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA2589  unclassified UBA2589
76 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA2589  unclassified UBA2589
78 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA2589  unclassified UBA2589
20 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA887 UBA887 sp002313925
51 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA887 UBA887 sp002313925
61 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA887 UBA887 sp002313925
83 Bacteria Gemmatimonadota Gemmatimonadetes SG8-23 UBA6960 UBA887 UBA887 sp002313925
61 Bacteria Marinisomatota Marinisomatia Marinisomatales UBA1611 GCA-2722105  unclassified GCA-2722105
23 Bacteria Myxococcota UBA796 UBA796 UBA796 UBA796  unclassified UBA796
42 Bacteria Myxococcota UBA796 UBA796 UBA796  unclassified UBA796  unclassified UBA796
23 Bacteria Myxococcota UBA9042 UBA3505 UBA3505  unclassified UBA3505  unclassified UBA3505
23 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
34 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
43 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
47 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
80 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
83 Bacteria Nitrospinota Nitrospinia Nitrospinales Nitrospinaceae UBA8687  unclassified UBA8687
77 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae Fuerstia  unclassified Fuerstia
23 Bacteria Planctomycetota Phycisphaerae Phycisphaerales SM1A02 GCA-002718515  unclassified GCA-002718515
48 Bacteria Planctomycetota UBA1135 UBA1135 GCA-002686595 GCA-2862085  unclassified GCA-2862085
35 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Mariniblastus  unclassified Mariniblastus
36 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Mariniblastus  unclassified Mariniblastus
37 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Mariniblastus  unclassified Mariniblastus
5 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Mariniblastus  unclassified Mariniblastus
60 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Mariniblastus  unclassified Mariniblastus
46 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae Rubripirellula Rubripirellula sp002862205
61 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae SAT2750 SAT2750 sp002708345
7 Bacteria Planctomycetota Phycisphaerae Phycisphaerales SM1A02 UBA12014 UBA12014 sp002690755
79 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae UBA721 UBA721 sp002705165
39 Bacteria Planctomycetota Phycisphaerae Phycisphaerales SM1A02 UBA8087 UBA8087 sp002684315
52 Bacteria Planctomycetota Phycisphaerae Phycisphaerales SM1A02 UBA8087  unclassified UBA8087
47 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
51 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
61 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
69 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
80 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
83 Bacteria Planctomycetota Planctomycetes Planctomycetales Planctomycetaceae UBA8437  unclassified UBA8437
23 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae  unclassified Pirellulaceae  unclassified Pirellulaceae
61 Bacteria Planctomycetota Planctomycetes Pirellulales Pirellulaceae  unclassified Pirellulaceae  unclassified Pirellulaceae
80 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 AEGEAN-183  unclassified AEGEAN-183
41 Bacteria Proteobacteria Gammaproteobacteria SAR86 AG-339-G14 AG-339-G14  unclassified AG-339-G14
23 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Alcanivoracaceae Alcanivorax Alcanivorax sp002354605
3 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Alcanivoracaceae Alcanivorax Alcanivorax sp002354605
69 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Alcanivoracaceae Alcanivorax Alcanivorax sp002354605
29 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A  unclassified Amylibacter_A
6 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A  unclassified Amylibacter_A
12 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
21 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
24 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
35 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
36 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
37 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
38 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
52 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
67 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp900197625
6 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp000153745
67 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Amylibacter_A Amylibacter_A sp000153745
41 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Methylophilaceae BACL14  unclassified BACL14
8 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Methylophilaceae BACL14  unclassified BACL14
9 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Bradyrhizobium  unclassified Bradyrhizobium
37 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
10 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
30 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
32 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
39 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
40 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
42 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
45 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
5 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
50 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
63 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
68 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
7 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
77 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
79 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
38 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
77 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
8 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472 D2472  unclassified D2472
3 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Erythrobacter_A Erythrobacter_A citreus
60 Bacteria Proteobacteria Alphaproteobacteria UBA8366 UBA8366 GCA-002724395  unclassified GCA-002724395
79 Bacteria Proteobacteria Alphaproteobacteria UBA8366 UBA8366 GCA-002724395  unclassified GCA-002724395
60 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089 GCA-002727775  unclassified GCA-002727775
79 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089 GCA-002727775  unclassified GCA-002727775
35 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
36 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
37 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
38 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
40 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
41 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
60 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-002728725  unclassified GCA-002728725
41 Bacteria Proteobacteria Alphaproteobacteria TMED109 TMED109 GCA-2684605 GCA-2684605 sp002684605
60 Bacteria Proteobacteria Gammaproteobacteria Woeseiales Woeseiaceae GCA-2685275  unclassified GCA-2685275
60 Bacteria Proteobacteria Alphaproteobacteria Defluviicoccales UBA830 GCA-2689465  unclassified GCA-2689465
36 Bacteria Proteobacteria Alphaproteobacteria Defluviicoccales UBA830 GCA-2689465  unclassified GCA-2689465
30 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae GCA-2697345  unclassified GCA-2697345
2 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
22 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
26 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
27 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
28 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
29 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
33 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
38 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
39 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
41 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
63 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
36 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86 GCA-2707915  unclassified GCA-2707915
23 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Halomonadaceae Halomonas Halomonas aquamarina
9 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Halomonadaceae Halomonas Halomonas aquamarina
35 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Maricaulaceae Hellea  unclassified Hellea
36 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Maricaulaceae Hellea  unclassified Hellea
37 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Maricaulaceae Hellea  unclassified Hellea
48 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Maricaulaceae Hellea  unclassified Hellea
11 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
28 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
39 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
41 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
42 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
50 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
54 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
58 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
71 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
74 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
8 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
10 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002457115
56 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002711145
7 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002457115
70 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002457115
11 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
2 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
33 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
38 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
40 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
42 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
54 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
6 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
68 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
77 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
8 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
35 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
36 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
41 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
40 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
41 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
42 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
10 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
52 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11  unclassified HIMB11
29 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002336405
30 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002336405
33 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002336405
10 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
35 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
36 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
37 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
40 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
54 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
56 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
7 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
74 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
77 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp002684375
24 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
35 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
36 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
37 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
38 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
48 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
52 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
56 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
70 Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae HIMB11 HIMB11 sp001642945
12 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002685195
25 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002685195
67 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002685195
25 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002457245
27 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002457245
32 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002457245
38 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002457245
39 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Porticoccaceae HTCC2207 HTCC2207 sp002457245
