Sample Domain Phylum Class Order Family Genus Species
77 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 UBA9040  unclassified UBA9040
23 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 UBA9040  unclassified UBA9040
46 Bacteria Actinobacteriota Acidimicrobiia Microtrichales TK06 UBA9040  unclassified UBA9040
20 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
9 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
23 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
3 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
64 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
80 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
20 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
3 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
47 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
51 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
61 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
69 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
80 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
83 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
61 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
69 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
72 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
80 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
23 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
34 Bacteria Actinobacteriota Acidimicrobiia Microtrichales MedAcidi-G1 UBA9410  unclassified UBA9410
34 Bacteria Actinobacteriota Acidimicrobiia Microtrichales UBA8592  unclassified UBA8592  unclassified UBA8592
62 Bacteria Actinobacteriota Acidimicrobiia Microtrichales UBA8592  unclassified UBA8592  unclassified UBA8592
79 Bacteria Actinobacteriota Acidimicrobiia Microtrichales UBA8592  unclassified UBA8592  unclassified UBA8592
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae BACL21  unclassified BACL21
46 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae GCA-002733185  unclassified GCA-002733185
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae GCA-002733185  unclassified GCA-002733185
51 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae GCA-2700405  unclassified GCA-2700405
25 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae HC6-5  unclassified HC6-5
28 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae HC6-5  unclassified HC6-5
6 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae HC6-5  unclassified HC6-5
68 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae HC6-5  unclassified HC6-5
33 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
40 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
6 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
26 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
33 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Hel1-33-131  unclassified Hel1-33-131
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MAG-121220-bin8 MAG-121220-bin8 sp002700465
52 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MAG-121220-bin8 MAG-121220-bin8 sp002700465
21 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11 MED-G11 sp002457075
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11 MED-G11 sp002457075
23 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11  unclassified MED-G11
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11  unclassified MED-G11
46 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11  unclassified MED-G11
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MED-G11  unclassified MED-G11
25 Bacteria Bacteroidota Bacteroidia Flavobacteriales UBA10066 MED-G20  unclassified MED-G20
26 Bacteria Bacteroidota Bacteroidia Flavobacteriales UBA10066 MED-G20  unclassified MED-G20
27 Bacteria Bacteroidota Bacteroidia Flavobacteriales UBA10066 MED-G20  unclassified MED-G20
10 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
38 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
39 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
68 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
7 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
8 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
68 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae MS024-2A  unclassified MS024-2A
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Polaribacter  unclassified Polaribacter
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae Polaribacter  unclassified Polaribacter
21 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae SCGC-AAA160-P02  unclassified SCGC-AAA160-P02
27 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae SCGC-AAA160-P02  unclassified SCGC-AAA160-P02
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae SCGC-AAA160-P02  unclassified SCGC-AAA160-P02
7 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae TMED14  unclassified TMED14
71 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae TMED14  unclassified TMED14
52 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
53 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
21 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
24 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
25 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
56 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
29 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16 UA16 sp002336085
30 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16 UA16 sp002336085
33 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16 UA16 sp002336085
29 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
71 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
8 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UA16  unclassified UA16
12 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
25 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364 UBA10364 sp002387615
71 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364 UBA10364 sp002387615
24 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
67 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
70 Bacteria Bacteroidota Bacteroidia Flavobacteriales Cryomorphaceae UBA10364  unclassified UBA10364
29 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
30 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
33 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
42 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
24 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
56 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA11663  unclassified UBA11663
24 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
26 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
38 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
39 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
40 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
42 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
46 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
52 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
53 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
67 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
68 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002684355
82 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537  unclassified UBA3537
74 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002709185
71 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA3537 UBA3537 sp002725015
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA4466  unclassified UBA4466
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA4466  unclassified UBA4466
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA4466  unclassified UBA4466
52 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA4466  unclassified UBA4466
70 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA4466  unclassified UBA4466
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
38 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
40 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
42 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
52 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
53 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
