Kingdom,Phylum,Class,Order,Family,Genus,Species
,,,,,,184_2
,,,,,,25_1
,,,,,,187_1
,,,,,,53_1
,,,,,,50_1
,,,,,,161_0
,,,,,,186_1
,,,,,,18_2
,,,,,,197_1
,,,,,,136_1
,,,,,,164_1
,,,,,,200_1
,,,,,,73_3
,,,,,,136_1
,,,,,,101_1
,,,,,,120_2
,,,,,,9_1
,,,,,,8_1
,,,,,,129_2
,,,,,,152_1
,,,,,,128_2
,,,,,,50_1
,,,,,,125_1
,,,,,,2_2
,,,,,,124_1
,,,,,,41_1
,,,,,,60_1
,,,,,,62_1
,,,,,,120_1
,,,,,,119_2
,,,,,,180_1
,,,,,,171_0
,,,,,,136_1
,,,,,,131_2
,,,,,,91_0
,,,,,,107_1
,,,,,,93_1
,,,,,,50_1
,,,,,,93_2
,,,,,,118_0
,,,,,,140_1
,,,,,,110_1
,,,,,,142_1
,,,,,,134_1
,,,,,,81_1
,,,,,,42_2
,,,,,,39_1
,,,,,,29_2
,,,,,,195_1
,,,,,,199_1
,,,,,,20_0
,,,,,,18_2
,,,,,,190_1
,,,,,,199_1
,,,,,,29_2
,,,,,,18_2
,,,,,,52_1
,,,,,,2_2
,,,,,,108_1
,,,,,,73_2
,,,,,,195_1
,,,,,,29_2
,,,,,,52_1
,,,,,,108_1
,,,,,,29_2
,,,,,,2_2
,,,,,,73_2
,,,,,,1_1
,,,,,,73_2
,,,,,,29_2
,,,,,,52_1
,,,,,,200_2
,,,,,,49_1
,,,,,,73_2
,,,,,,165_1
,,,,,,29_2
,,,,,,200_2
,,,,,,2_2
,,,,,,1_1
,,,,,,2_2
,,,,,,29_2
,,,,,,73_2
,,,,,,165_1
,,,,,,52_1
,,,,,,150_1
,,,,,,124_1
,,,,,,108_1
,,,,,,2_2
,,,,,,29_2
,,,,,,1_1
,,,,,,62_1
,,,,,,66_1
,,,,,,29_1
,,,,,,206_1
,,,,,,11_1
,,,,,,52_1
,,,,,,73_1
,,,,,,18_1
,,,,,,199_1
,,,,,,209_1
,,,,,,10_1
,,,,,,203_1
,,,,,,193_0
,,,,,,188_1
,,,,,,12_1
,,,,,,54_1
,,,,,,21_1
,,,,,,201_1
,,,,,,210_1
,,,,,,181_1
,,,,,,184_2
,,,,,,142_1
,,,,,,1_2
,,,,,,134_1
,,,,,,103_1
,,,,,,42_2
,,,,,,131_1
,,,,,,90_1
,,,,,,197_1
,,,,,,132_0
,,,,,,130_1
,,,,,,29_2
,,,,,,116_1
,,,,,,84_1
,,,,,,1_1
,,,,,,150_1
,,,,,,29_2
,,,,,,74_1
,,,,,,190_1
,,,,,,30_0
,,,,,,189_1
,,,,,,188_1
,,,,,,18_1
,,,,,,199_1
,,,,,,52_1
,,,,,,200_2
,,,,,,202_1
,,,,,,11_2
,,,,,,6_0
,,,,,,179_1
,,,,,,73_1
,,,,,,63_0
,,,,,,168_1
,,,,,,210_1
,,,,,,186_2
,,,,,,103_2
,,,,,,46_0
,,,,,,209_1
,,,,,,201_1
,,,,,,65_1
,,,,,,165_1
,,,,,,192_2
,,,,,,166_0
,,,,,,14_1
,,,,,,108_1
,,,,,,51_1
,,,,,,207_1
,,,,,,163_0
,,,,,,148_1
,,,,,,86_2
,,,,,,45_2
,,,,,,81_3
,,,,,,180_1
,,,,,,42_2
,,,,,,39_1
,,,,,,38_0
,,,,,,28_1
,,,,,,134_1
,,,,,,33_1
,,,,,,151_1
,,,,,,94_1
,,,,,,130_1
,,,,,,181_1
,,,,,,79_1
,,,,,,131_1
,,,,,,169_1
,,,,,,115_1
,,,,,,81_1
,,,,,,116_1
,,,,,,111_1
,,,,,,119_1
,,,,,,41_1
,,,,,,110_1
,,,,,,42_2
,,,,,,88_1
,,,,,,89_1
,,,,,,144_1
,,,,,,97_1
,,,,,,119_1
,,,,,,150_1
,,,,,,116_1
,,,,,,70_2
,,,,,,94_1
,,,,,,115_1
,,,,,,41_1
,,,,,,169_1
,,,,,,88_1
,,,,,,144_1
,,,,,,37_2
,,,,,,115_1
