unique_id,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,56,57,58,59,6,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,76,77,78,79,8,80,81,82,83
"Misc_K01845_Siroheme biosynthesis, glutamate => siroheme",9,6,8,12,9,5,7,8,3,8,8,11,34,8,4,55,10,8,10,11,11,15,20,10,4,14,31,22,26,23,20,18,1,22,36,25,33,3,4,12,43,7,2,11,15,38,9,3,13,4,4,5,2,14,58,6,9,17,4,2,11,17,24,6,8,11,10,0,13,11,18,9,33,17,41,1,14,34
"Misc_K01885_Siroheme biosynthesis, glutamate => siroheme",3,11,6,19,2,0,4,4,3,4,3,4,11,15,6,20,14,10,11,8,11,12,12,10,1,10,13,27,25,25,21,19,0,18,31,25,12,3,0,7,11,6,0,6,7,11,15,3,16,10,1,4,0,14,17,2,2,6,8,2,10,11,6,7,9,8,3,0,8,3,9,3,10,13,16,0,7,9
"Misc_K02302_Siroheme biosynthesis, glutamate => siroheme",1,0,0,5,1,1,0,0,0,1,0,0,2,6,0,5,4,2,2,1,0,2,2,1,0,2,3,5,8,6,2,2,0,5,5,3,3,0,0,1,2,3,0,0,1,3,5,0,1,3,0,0,0,3,2,0,0,3,0,0,4,2,2,0,4,0,1,0,1,2,1,0,2,2,4,0,0,2
"Misc_K02303_Siroheme biosynthesis, glutamate => siroheme",2,6,3,5,0,0,0,2,2,2,2,1,6,5,0,4,5,2,0,1,2,2,3,2,0,2,3,12,13,9,6,3,0,6,7,7,2,1,0,1,1,1,0,3,2,3,5,1,4,4,0,1,1,5,5,3,2,2,0,0,3,1,3,2,3,2,5,0,2,1,5,1,5,3,9,1,3,4
"Misc_K02304_Siroheme biosynthesis, glutamate => siroheme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Misc_K02492_Siroheme biosynthesis, glutamate => siroheme",7,5,3,11,2,2,6,6,7,6,4,6,14,7,3,24,5,10,9,7,7,9,14,8,3,7,17,13,20,20,15,8,0,15,24,18,13,3,2,10,15,6,2,8,8,19,8,4,8,2,4,4,2,8,19,8,3,9,3,5,9,8,10,6,6,7,9,0,12,10,13,5,17,12,19,3,8,16
"Misc_K02496_Siroheme biosynthesis, glutamate => siroheme",3,0,0,2,0,0,0,0,0,0,0,0,1,3,1,6,1,5,2,3,1,1,3,1,2,2,6,3,7,5,2,2,0,6,5,2,4,0,0,0,1,3,0,0,4,3,3,0,1,2,1,1,0,3,3,0,1,1,0,0,3,4,2,0,4,2,0,0,3,2,2,0,2,2,3,0,0,1
"Misc_K03794_Siroheme biosynthesis, glutamate => siroheme",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"Misc_K13542_Siroheme biosynthesis, glutamate => siroheme",1,1,2,0,0,0,1,1,1,1,1,2,2,0,0,6,0,0,1,0,1,0,5,0,0,2,4,1,2,1,1,2,0,3,5,2,4,0,0,4,7,0,0,0,1,5,0,0,0,0,0,0,0,0,9,0,1,3,0,0,3,1,3,1,0,1,1,0,2,1,3,1,4,2,7,0,1,5
"Misc_K13543_Siroheme biosynthesis, glutamate => siroheme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
