Phylum,Function,Category,n,Completeness
Binatota,FCC,Sulfur cycle,0,
Binatota,SoxB,Sulfur cycle,0,
Binatota,Sqr,Sulfur cycle,0,
Binatota,CoxL,Trace gas metabolism,0,
Binatota,NiFe_hydrogenase,Trace gas metabolism,0,
Chloroflexota,ArsC,Alternative e acceptor,0,
Chloroflexota,RdhA,Alternative e acceptor,0,
Chloroflexota,Cyc2,Alternative e donor,0,
Chloroflexota,FdhA,Alternative e donor,5,75.53
Chloroflexota,HbsT,Carbon fixation,0,
Chloroflexota,RbcL,Carbon fixation,0,
Chloroflexota,AmoA,Nitrogen cycle,0,
Chloroflexota,NapA,Nitrogen cycle,0,
Chloroflexota,NarG,Nitrogen cycle,0,
Chloroflexota,NifH,Nitrogen cycle,0,
Chloroflexota,NirK,Nitrogen cycle,0,
Chloroflexota,NorB,Nitrogen cycle,0,
Chloroflexota,NosZ,Nitrogen cycle,0,
Chloroflexota,PsaA,Phototrophy,0,
Chloroflexota,PsbA,Phototrophy,0,
Chloroflexota,RHO,Phototrophy,0,
Chloroflexota,AtpA,Respiration,20,74.8305
Chloroflexota,CcoN,Respiration,0,
Chloroflexota,CoxA,Respiration,21,71.09809524
Chloroflexota,CydA,Respiration,0,
Chloroflexota,CyoA,Respiration,0,
Chloroflexota,NuoF,Respiration,0,
Chloroflexota,Sdha_FrdA,Respiration,24,74.07708333
Chloroflexota,DsrA,Sulfur cycle,0,
Chloroflexota,FCC,Sulfur cycle,0,
Chloroflexota,SoxB,Sulfur cycle,0,
Chloroflexota,Sqr,Sulfur cycle,0,
Chloroflexota,CoxL,Trace gas metabolism,1,71.54
Chloroflexota,NiFe_hydrogenase,Trace gas metabolism,0,
Crenarchaeota,ArsC,Alternative e acceptor,14,80.03571429
Crenarchaeota,RdhA,Alternative e acceptor,0,
Crenarchaeota,Cyc2,Alternative e donor,0,
Crenarchaeota,FdhA,Alternative e donor,0,
Crenarchaeota,HbsT,Carbon fixation,15,77.818
Crenarchaeota,RbcL,Carbon fixation,0,
Crenarchaeota,AmoA,Nitrogen cycle,20,71.976
Crenarchaeota,NapA,Nitrogen cycle,0,
Crenarchaeota,NarG,Nitrogen cycle,0,
Crenarchaeota,NifH,Nitrogen cycle,0,
Crenarchaeota,NirK,Nitrogen cycle,0,
Crenarchaeota,NorB,Nitrogen cycle,0,
Crenarchaeota,NosZ,Nitrogen cycle,0,
Crenarchaeota,PsaA,Phototrophy,0,
Crenarchaeota,PsbA,Phototrophy,0,
Crenarchaeota,RHO,Phototrophy,0,
Crenarchaeota,AtpA,Respiration,3,59.47666667
Crenarchaeota,CcoN,Respiration,0,
Crenarchaeota,CoxA,Respiration,0,
Crenarchaeota,CydA,Respiration,0,
Crenarchaeota,CyoA,Respiration,0,
Crenarchaeota,NuoF,Respiration,0,
Crenarchaeota,Sdha_FrdA,Respiration,19,74.07210526
Crenarchaeota,DsrA,Sulfur cycle,0,
Crenarchaeota,FCC,Sulfur cycle,0,
Crenarchaeota,SoxB,Sulfur cycle,0,
Crenarchaeota,Sqr,Sulfur cycle,0,
Crenarchaeota,CoxL,Trace gas metabolism,0,
Crenarchaeota,NiFe_hydrogenase,Trace gas metabolism,0,
Cyanobacteria,ArsC,Alternative e acceptor,2,62.74
Cyanobacteria,RdhA,Alternative e acceptor,0,
Cyanobacteria,Cyc2,Alternative e donor,0,
Cyanobacteria,FdhA,Alternative e donor,0,
Cyanobacteria,HbsT,Carbon fixation,0,
Cyanobacteria,RbcL,Carbon fixation,17,87.15588235
Cyanobacteria,AmoA,Nitrogen cycle,0,
Cyanobacteria,NapA,Nitrogen cycle,0,
Cyanobacteria,NarG,Nitrogen cycle,0,
Cyanobacteria,NifH,Nitrogen cycle,0,
Cyanobacteria,NirK,Nitrogen cycle,0,
