"","Domain","Phylum","Class","Order","Family","Genus","Species","Watermass"
"47_bin.36","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"51_bin.22","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"64_bin.26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"80_bin.5","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"83_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"9_bin.45","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA2110","Genus_UBA2110","Deep"
"1_bin.28","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"35_bin.29","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Neritic"
"36_bin.83","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Neritic"
"37_bin.14","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"38_bin.60","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Front"
"39_bin.27","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"48_bin.20","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","STW"
"77_bin.24","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"23_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","Deep"
"46_bin.6","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","TK06","UBA9040","Genus_UBA9040","SAW"
"20_bin.19","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"9_bin.44","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"23_bin.30","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"3_bin.26","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"64_bin.8","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"80_bin.10","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"20_bin.32","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"3_bin.3","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"47_bin.41","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"51_bin.42","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"61_bin.9","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"69_bin.27","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"80_bin.1","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"83_bin.3","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"61_bin.58","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"69_bin.25","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"72_bin.11","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"80_bin.20","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"23_bin.60","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"34_bin.44","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","MedAcidi-G1","UBA9410","Genus_UBA9410","Deep"
"34_bin.45","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA8592","Family_UBA8592","Family_UBA8592","Deep"
"62_bin.9","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA8592","Family_UBA8592","Family_UBA8592","STW"
"79_bin.56","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","UBA8592","Family_UBA8592","Family_UBA8592","SAW"
"12_bin.37","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","BACL21","Genus_BACL21","Neritic"
"46_bin.26","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","GCA-002733185","Genus_GCA-002733185","SAW"
"54_bin.31","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","GCA-002733185","Genus_GCA-002733185","SAW"
"51_bin.26","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","GCA-2700405","Genus_GCA-2700405","Deep"
"25_bin.4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","HC6-5","Genus_HC6-5","STW"
"28_bin.28","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","HC6-5","Genus_HC6-5","SAW"
"6_bin.14","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","HC6-5","Genus_HC6-5","SAW"
"68_bin.29","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","HC6-5","Genus_HC6-5","SAW"
"33_bin.23","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","SAW"
"40_bin.58","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","SAW"
"6_bin.9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","SAW"
"26_bin.10","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","Front"
"33_bin.18","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","SAW"
"41_bin.100","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hel1-33-131","Genus_Hel1-33-131","SAW"
"12_bin.39","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MAG-121220-bin8","MAG-121220-bin8 sp002700465","Neritic"
"52_bin.35","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MAG-121220-bin8","MAG-121220-bin8 sp002700465","STW"
"21_bin.20","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","MED-G11 sp002457075","STW"
"37_bin.11","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","MED-G11 sp002457075","STW"
"23_bin.45","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","Genus_MED-G11","Deep"
"41_bin.86","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","Genus_MED-G11","SAW"
"46_bin.36","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","Genus_MED-G11","SAW"
"54_bin.37","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MED-G11","Genus_MED-G11","SAW"
"25_bin.30","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UBA10066","MED-G20","Genus_MED-G20","STW"
"26_bin.31","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UBA10066","MED-G20","Genus_MED-G20","Front"
