"","Domain","Phylum","Class","Order","Family","Genus","Species","Watermass"
"35_bin.23","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","Neritic"
"36_bin.41","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","Neritic"
"37_bin.71","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","STW"
"41_bin.52","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","SAW"
"42_bin.32","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","SAW"
"41_bin.56","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA952","Genus_UBA952","SAW"
"42_bin.67","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA952","Genus_UBA952","SAW"
"41_bin.99","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA952","Genus_UBA952","SAW"
"22_bin.32","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA974","UBA974 sp002336655","SAW"
"82_bin.27","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA974","UBA974 sp002336655","SAW"
"78_bin.42","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA974","UBA974 sp002292405","STW"
"54_bin.16","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Family_Flavobacteriaceae","Family_Flavobacteriaceae","SAW"
"82_bin.29","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Family_Flavobacteriaceae","Family_Flavobacteriaceae","SAW"
"46_bin.30","Bacteria","Binatota","Binatia","UBA12015","UBA12015","UBA12015","UBA12015 sp003447545","SAW"
"20_bin.30","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","Bin127","GCA-002725925","Genus_GCA-002725925","Deep"
"20_bin.44","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"23_bin.40","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"3_bin.16","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"34_bin.5","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"43_bin.25","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"47_bin.42","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"51_bin.12","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"61_bin.38","Bacteria","Chloroflexota","Dehalococcoidia","UBA1151","UBA1151","GCA-2730555","Genus_GCA-2730555","Deep"
"61_bin.26","Bacteria","Chloroflexota","Dehalococcoidia","SAR202","UBA826","UBA11996","UBA11996 sp002708495","Deep"
"61_bin.54","Bacteria","Chloroflexota","Dehalococcoidia","UBA2979","UBA2979","UBA2979","Genus_UBA2979","Deep"
"80_bin.13","Bacteria","Chloroflexota","Dehalococcoidia","UBA2979","UBA2979","UBA2979","Genus_UBA2979","Deep"
"23_bin.55","Bacteria","Chloroflexota","Dehalococcoidia","UBA2979","UBA2979","UBA2979","Genus_UBA2979","Deep"
"20_bin.24","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"23_bin.48","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"3_bin.14","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"34_bin.10","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"43_bin.24","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"47_bin.38","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"51_bin.8","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"61_bin.57","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"64_bin.3","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"69_bin.7","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"80_bin.16","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"83_bin.23","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"9_bin.14","Bacteria","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","Genus_UBA9611","Deep"
"47_bin.25","Bacteria","Chloroflexota","Dehalococcoidia","SAR202","Order_SAR202","Order_SAR202","Order_SAR202","Deep"
"61_bin.11","Bacteria","Chloroflexota","Dehalococcoidia","SAR202","Order_SAR202","Order_SAR202","Order_SAR202","Deep"
"80_bin.21","Bacteria","Chloroflexota","Dehalococcoidia","SAR202","Order_SAR202","Order_SAR202","Order_SAR202","Deep"
"61_bin.48","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopelagicus","Genus_Nitrosopelagicus","Deep"
"72_bin.1","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopelagicus","Genus_Nitrosopelagicus","Deep"
"17_bin.31","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopelagicus","Genus_Nitrosopelagicus","SAW"
"79_bin.29","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopelagicus","Genus_Nitrosopelagicus","SAW"
"1_bin.22","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"10_bin.34","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"12_bin.33","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","Neritic"
"35_bin.54","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","Neritic"
"36_bin.1","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","Neritic"
"37_bin.61","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"38_bin.37","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","Front"
"44_bin.17","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"59_bin.1","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"62_bin.17","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"7_bin.22","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"73_bin.3","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"76_bin.22","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"78_bin.21","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"81_bin.6","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus sp002690535","STW"
"5_bin.19","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","SAW"
"60_bin.42","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","SAW"
"62_bin.8","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","STW"
"63_bin.3","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","SAW"
"77_bin.7","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","SAW"
"79_bin.10","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","SAW"
"72_bin.9","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrosopumilaceae","Nitrosopumilus","Genus_Nitrosopumilus","Deep"
"61_bin.56","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","UBA57","UBA57","UBA57 sp002494565","Deep"
"16_bin.5","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"18_bin.27","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"2_bin.4","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"22_bin.37","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"27_bin.3","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"42_bin.60","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"46_bin.25","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"5_bin.13","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"54_bin.17","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"66_bin.12","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"77_bin.31","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"79_bin.17","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"82_bin.11","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Genus_Synechococcus_C","SAW"
"21_bin.19","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp002500205","STW"
"56_bin.30","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp000012505","STW"
"70_bin.27","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp000012505","STW"
"11_bin.11","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"15_bin.11","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","Front"
"16_bin.18","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"18_bin.25","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"19_bin.12","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"2_bin.23","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"39_bin.22","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"40_bin.40","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"41_bin.89","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"42_bin.62","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"5_bin.20","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"50_bin.27","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"54_bin.32","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"57_bin.11","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","Front"
"58_bin.3","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"60_bin.65","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"63_bin.9","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"66_bin.10","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"7_bin.25","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","STW"
"71_bin.4","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"74_bin.11","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"77_bin.15","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"79_bin.53","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"82_bin.7","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_C","Synechococcus_C sp003208835","SAW"
"41_bin.102","Bacteria","Dadabacteria","UBA1144","UBA1144","UBA1144","TMED58","TMED58 sp002701865","SAW"
"41_bin.76","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Order_Fibrobacterales","Order_Fibrobacterales","Order_Fibrobacterales","SAW"
"23_bin.20","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","GCA-2718595","Genus_GCA-2718595","Deep"
"47_bin.39","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","GCA-2718595","Genus_GCA-2718595","Deep"
"61_bin.24","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","GCA-2718595","Genus_GCA-2718595","Deep"
"1_bin.5","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA2589","Genus_UBA2589","STW"
"76_bin.30","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA2589","Genus_UBA2589","STW"
"78_bin.45","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA2589","Genus_UBA2589","STW"
"20_bin.14","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA887","UBA887 sp002313925","Deep"
"51_bin.21","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA887","UBA887 sp002313925","Deep"
"61_bin.34","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA887","UBA887 sp002313925","Deep"
"83_bin.14","Bacteria","Gemmatimonadota","Gemmatimonadetes","SG8-23","UBA6960","UBA887","UBA887 sp002313925","Deep"
"61_bin.49","Bacteria","Marinisomatota","Marinisomatia","Marinisomatales","UBA1611","GCA-2722105","Genus_GCA-2722105","Deep"
"23_bin.31","Bacteria","Myxococcota","UBA796","UBA796","UBA796","UBA796","Genus_UBA796","Deep"
"42_bin.44","Bacteria","Myxococcota","UBA796","UBA796","UBA796","Family_UBA796","Family_UBA796","SAW"
"23_bin.47","Bacteria","Myxococcota","UBA9042","UBA3505","UBA3505","Family_UBA3505","Family_UBA3505","Deep"
"23_bin.62","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"34_bin.14","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"43_bin.18","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"47_bin.21","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"80_bin.8","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"83_bin.12","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","UBA8687","Genus_UBA8687","Deep"
"77_bin.49","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","Fuerstia","Genus_Fuerstia","SAW"
"23_bin.64","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","GCA-002718515","Genus_GCA-002718515","Deep"
"48_bin.34","Bacteria","Planctomycetota","UBA1135","UBA1135","GCA-002686595","GCA-2862085","Genus_GCA-2862085","STW"
"35_bin.30","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Genus_Mariniblastus","Neritic"
"36_bin.84","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Genus_Mariniblastus","Neritic"
"37_bin.44","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Genus_Mariniblastus","STW"
"5_bin.9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Genus_Mariniblastus","SAW"
"60_bin.20","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Genus_Mariniblastus","SAW"
"46_bin.29","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula","Rubripirellula sp002862205","SAW"
"61_bin.29","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","SAT2750","SAT2750 sp002708345","Deep"
"7_bin.33","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA12014","UBA12014 sp002690755","STW"
"79_bin.23","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","UBA721","UBA721 sp002705165","SAW"
"39_bin.17","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA8087","UBA8087 sp002684315","SAW"
"52_bin.39","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA8087","Genus_UBA8087","STW"
"47_bin.4","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"51_bin.5","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"61_bin.50","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"69_bin.2","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"80_bin.25","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"83_bin.10","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetaceae","UBA8437","Genus_UBA8437","Deep"
"23_bin.36","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Family_Pirellulaceae","Family_Pirellulaceae","Deep"
"61_bin.42","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Family_Pirellulaceae","Family_Pirellulaceae","Deep"
"80_bin.29","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","SAR86","AEGEAN-183","Genus_AEGEAN-183","Deep"
"41_bin.77","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","AG-339-G14","AG-339-G14","Genus_AG-339-G14","SAW"
"23_bin.33","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae","Alcanivorax","Alcanivorax sp002354605","Deep"
"3_bin.11","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae","Alcanivorax","Alcanivorax sp002354605","Deep"
"69_bin.23","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae","Alcanivorax","Alcanivorax sp002354605","Deep"
"29_bin.38","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Genus_Amylibacter_A","SAW"
"6_bin.17","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Genus_Amylibacter_A","SAW"
"12_bin.5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","Neritic"
"21_bin.2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","STW"
"24_bin.31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","STW"
"35_bin.62","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","Neritic"
"36_bin.7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","Neritic"
"37_bin.39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","STW"
"38_bin.42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","Front"
"52_bin.43","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","STW"
"67_bin.17","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp900197625","STW"
"6_bin.34","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp000153745","SAW"
"67_bin.29","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter_A","Amylibacter_A sp000153745","STW"
"41_bin.39","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","BACL14","Genus_BACL14","SAW"
"8_bin.15","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","BACL14","Genus_BACL14","SAW"
"9_bin.11","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Genus_Bradyrhizobium","Deep"
"37_bin.5","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","STW"
"10_bin.29","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","STW"
"30_bin.38","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"32_bin.6","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","STW"
"39_bin.23","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"40_bin.22","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"42_bin.58","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"45_bin.3","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","Front"
"5_bin.28","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"50_bin.21","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"63_bin.8","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"68_bin.28","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"7_bin.10","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","STW"
"77_bin.18","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"79_bin.5","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
"38_bin.23","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","Front"
"77_bin.40","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86","D2472","D2472","Genus_D2472","SAW"
