bin_ID,Sample,Watermass,Phylum,cluster
82_bin.21,82,SAW,Myxococcota,clust2
1_bin.23,1,STW,Proteobacteria,clust2
81_bin.2,81,STW,Proteobacteria,clust2
26_bin.9,26,Front,Cyanobacteria,clust2
82_bin.12,82,SAW,Cyanobacteria,clust2
34_bin.34,34,Deep,Proteobacteria,clust2
9_bin.8,9,Deep,Cyanobacteria,clust2
50_bin.16,50,SAW,Cyanobacteria,clust2
2_bin.54,2,SAW,Planctomycetota,clust2
11_bin.20,11,SAW,Fibrobacterota,clust2
79_bin.66,79,SAW,Cyanobacteria,clust2
30_bin.32,30,SAW,Cyanobacteria,clust2
24_bin.3,24,STW,Proteobacteria,clust2
51_bin.63,51,Deep,Planctomycetota,clust2
76_bin.20,76,STW,Cyanobacteria,clust2
65_bin.25,65,STW,Cyanobacteria,clust2
49_bin.4,49,Front,Proteobacteria,clust2
24_bin.38,24,STW,Nitrospinota,clust2
79_bin.22,79,SAW,Cyanobacteria,clust2
33_bin.1,33,SAW,Gemmatimonadota,clust2
13_bin.12,13,STW,Proteobacteria,clust2
5_bin.25,5,SAW,Proteobacteria,clust2
61_bin.49,61,Deep,Proteobacteria,clust3
56_bin.13,56,STW,Proteobacteria,clust3
33_bin.13,33,SAW,Proteobacteria,clust3
1_bin.18,1,STW,Proteobacteria,clust3
80_bin.21,80,Deep,Proteobacteria,clust3
29_bin.39,29,SAW,Proteobacteria,clust3
52_bin.48,52,STW,Proteobacteria,clust3
24_bin.19,24,STW,Proteobacteria,clust3
33_bin.34,33,SAW,Proteobacteria,clust3
23_bin.64,23,Deep,Proteobacteria,clust3
24_bin.39,24,STW,Proteobacteria,clust3
1_bin.5,1,STW,Proteobacteria,clust3
25_bin.27,25,STW,Proteobacteria,clust3
36_bin.73,36,Neritic,Proteobacteria,clust3
80_bin.29,80,Deep,Proteobacteria,clust3
40_bin.12,40,SAW,Proteobacteria,clust3
1_bin.9,1,STW,Verrucomicrobiota,clust3
54_bin.9,54,SAW,Proteobacteria,clust3
41_bin.99,41,SAW,Proteobacteria,clust3
34_bin.33,34,Deep,Verrucomicrobiota,clust3
38_bin.23,38,Front,Proteobacteria,clust3
38_bin.14,38,Front,Proteobacteria,clust3
34_bin.5,34,Deep,Proteobacteria,clust3
62_bin.9,62,STW,Proteobacteria,clust3
8_bin.1,8,SAW,Proteobacteria,clust3
43_bin.25,43,Deep,Proteobacteria,clust3
3_bin.14,3,Deep,Proteobacteria,clust3
22_bin.32,22,SAW,Proteobacteria,clust3
64_bin.8,64,Deep,Proteobacteria,clust3
20_bin.38,20,Deep,Proteobacteria,clust3
56_bin.34,56,STW,Proteobacteria,clust3
42_bin.58,42,SAW,Proteobacteria,clust3
47_bin.42,47,Deep,Proteobacteria,clust3
72_bin.12,72,Deep,Proteobacteria,clust3
51_bin.21,51,Deep,Proteobacteria,clust3
77_bin.40,77,SAW,Proteobacteria,clust3
30_bin.38,30,SAW,Proteobacteria,clust3
23_bin.57,23,Deep,Verrucomicrobiota,clust3
20_bin.44,20,Deep,Proteobacteria,clust3
71_bin.12,71,SAW,Proteobacteria,clust3
61_bin.11,61,Deep,Proteobacteria,clust3
46_bin.18,46,SAW,Proteobacteria,clust3
5_bin.28,5,SAW,Proteobacteria,clust3
82_bin.27,82,SAW,Proteobacteria,clust3
80_bin.13,80,Deep,Proteobacteria,clust3
28_bin.30,28,SAW,Proteobacteria,clust3
42_bin.3,42,SAW,Proteobacteria,clust3
12_bin.7,12,Neritic,Proteobacteria,clust3
45_bin.3,45,Front,Proteobacteria,clust3
42_bin.16,42,SAW,Proteobacteria,clust3
37_bin.13,37,STW,Proteobacteria,clust3
78_bin.22,78,STW,Proteobacteria,clust3
8_bin.2,8,SAW,Proteobacteria,clust3
50_bin.21,50,SAW,Proteobacteria,clust3
10_bin.29,10,STW,Proteobacteria,clust3
9_bin.14,9,Deep,Proteobacteria,clust3
51_bin.12,51,Deep,Proteobacteria,clust3
29_bin.25,29,SAW,Proteobacteria,clust3
37_bin.7,37,STW,Proteobacteria,clust3
70_bin.13,70,STW,Proteobacteria,clust3
23_bin.31,23,Deep,Proteobacteria,clust3
37_bin.5,37,STW,Proteobacteria,clust3
25_bin.13,25,STW,Proteobacteria,clust3
41_bin.77,41,SAW,Proteobacteria,clust3
36_bin.48,36,Neritic,Proteobacteria,clust3
47_bin.25,47,Deep,Proteobacteria,clust3
65_bin.42,65,STW,Proteobacteria,clust3
38_bin.52,38,Front,Proteobacteria,clust3
40_bin.22,40,SAW,Proteobacteria,clust3
25_bin.4,25,STW,Proteobacteria,clust3
76_bin.43,76,STW,Proteobacteria,clust3
83_bin.12,83,Deep,Proteobacteria,clust3
27_bin.9,27,SAW,Proteobacteria,clust3
39_bin.23,39,SAW,Proteobacteria,clust3
37_bin.38,37,STW,Proteobacteria,clust3
64_bin.18,64,Deep,Proteobacteria,clust3
51_bin.26,51,Deep,Proteobacteria,clust3
54_bin.16,54,SAW,Proteobacteria,clust3
70_bin.14,70,STW,Proteobacteria,clust3
10_bin.1,10,STW,Proteobacteria,clust3
71_bin.13,71,SAW,Proteobacteria,clust3
3_bin.25,3,Deep,Verrucomicrobiota,clust3
79_bin.5,79,SAW,Proteobacteria,clust3
68_bin.15,68,SAW,Proteobacteria,clust3
77_bin.18,77,SAW,Proteobacteria,clust3
48_bin.20,48,STW,Proteobacteria,clust3
41_bin.28,41,SAW,Proteobacteria,clust3
61_bin.28,61,Deep,Proteobacteria,clust3
44_bin.35,44,STW,Proteobacteria,clust3
35_bin.26,35,Neritic,Proteobacteria,clust3
40_bin.47,40,SAW,Proteobacteria,clust3
63_bin.8,63,SAW,Proteobacteria,clust3
8_bin.34,8,SAW,Proteobacteria,clust3
68_bin.18,68,SAW,Proteobacteria,clust3
70_bin.15,70,STW,Proteobacteria,clust3
29_bin.24,29,SAW,Proteobacteria,clust3
33_bin.19,33,SAW,Proteobacteria,clust3
20_bin.30,20,Deep,Proteobacteria,clust3
35_bin.21,35,Neritic,Proteobacteria,clust3
61_bin.26,61,Deep,Proteobacteria,clust3
30_bin.17,30,SAW,Proteobacteria,clust3
34_bin.44,34,Deep,Proteobacteria,clust3
35_bin.13,35,Neritic,Verrucomicrobiota,clust3
28_bin.28,28,SAW,Proteobacteria,clust3
25_bin.8,25,STW,Proteobacteria,clust3
68_bin.28,68,SAW,Proteobacteria,clust3
37_bin.11,37,STW,Proteobacteria,clust3
16_bin.12,16,SAW,Proteobacteria,clust3
67_bin.12,67,STW,Proteobacteria,clust3
37_bin.6,37,STW,Proteobacteria,clust3
3_bin.19,3,Deep,Proteobacteria,clust3
32_bin.11,32,STW,Proteobacteria,clust3
61_bin.21,61,Deep,Proteobacteria,clust3
29_bin.13,29,SAW,Proteobacteria,clust3
40_bin.21,40,SAW,Proteobacteria,clust3
61_bin.24,61,Deep,Proteobacteria,clust3
7_bin.10,7,STW,Proteobacteria,clust3
2_bin.18,2,SAW,Proteobacteria,clust3
80_bin.8,80,Deep,Proteobacteria,clust3
28_bin.14,28,SAW,Proteobacteria,clust3
28_bin.13,28,SAW,Proteobacteria,clust3
3_bin.16,3,Deep,Proteobacteria,clust3
36_bin.40,36,Neritic,Proteobacteria,clust3
20_bin.32,20,Deep,Proteobacteria,clust3
38_bin.44,38,Front,Proteobacteria,clust3
41_bin.64,41,SAW,Proteobacteria,clust3
61_bin.38,61,Deep,Proteobacteria,clust3
12_bin.6,12,Neritic,Proteobacteria,clust3
15_bin.20,15,Front,Verrucomicrobiota,clust3
